"Pos","FG_Mean","FG_SD","ThreeP_Mean","ThreeP_SD","eFG_Mean","eFG_SD","Count"
"C",0.517673469387755,0.0957671979128902,0.241918367346939,0.182791169983977,0.554908163265306,0.0875107164848078,98
"PF",0.462603448275862,0.0788819568623952,0.329586206896552,0.116879653376083,0.539887931034483,0.0760604761159599,116
"PG",0.415512396694215,0.0993408371636492,0.329264462809917,0.112030782123712,0.495214876033058,0.114751412962366,121
"SF",0.42175,0.114802656763683,0.32326724137931,0.158796525959077,0.499793103448276,0.136123314761246,116
"SG",0.425457627118644,0.103277536835422,0.331774011299435,0.132195554191594,0.511898305084746,0.13330178018085,177
